ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2011-06,G7,25,40244,19023733,232,2957,3130,4,3319895922
2011-07,G7,25,37911,17400173,231,2788,2938,4,2993620323
2011-06,G7,26,9921,3191263,186,1718,1790,4,481769034
2011-07,G7,26,9494,3067395,185,1676,1737,4,462307303
2011-02,B4,25,15417,9781027,43,1430,1635,4,1654197214
2011-01,B4,25,21797,13058605,44,1728,1946,5,2423310147
2010-12,B4,25,3888,2305781,41,960,1080,1,465969516
2011-03,B4,25,16581,10503403,46,1498,1738,4,1773956010
2011-04,B4,25,17710,9771326,44,1466,1687,4,1615773616
2011-05,B4,25,21435,11795487,43,1640,1885,5,1958292376
2011-06,B4,25,17829,10046963,44,1444,1665,4,1680305207
2011-07,B4,25,17460,10321136,42,1421,1612,4,1764255905
2011-08,B4,25,20390,12626466,43,1436,1677,5,2099263991
2011-09,B4,25,19598,11379640,44,1519,1764,4,2040770028
2011-10,B4,25,21475,10852212,43,1611,1898,5,2072682627
2011-11,B4,25,16062,9953805,44,1521,1810,4,1180115099
2011-12,B4,25,10946,7077970,43,1296,1533,3,697032150
2011-01,B4,26,4347,1589682,39,579,626,5,248222194
2010-12,B4,26,733,304921,34,297,327,1,47860528
2011-09,B4,26,4553,1471516,39,534,603,4,224617298
2011-07,B4,26,3837,1555815,37,519,572,4,225578532
2011-08,B4,26,4832,1613459,39,502,576,5,234648491
2011-02,B4,26,2934,1083596,36,500,554,4,171877868
2011-06,B4,26,3694,1273636,38,496,559,4,188859584
2011-04,B4,26,3419,1151472,36,503,563,4,172469486
2011-05,B4,26,4386,1756239,37,576,653,5,253311830
2011-03,B4,26,3467,1349152,39,563,631,4,205242943
2011-10,B4,26,5066,1576039,36,612,706,5,255596804
2011-11,B4,26,3769,1950016,39,579,663,4,191951167
2011-12,B4,26,2776,1814480,37,486,556,3,160582673
2011-02,H5,25,1596,362374,55,177,187,4,58407627
2011-01,H5,25,2168,593516,72,221,230,5,124699479
2011-03,H5,25,1572,601973,68,184,192,4,82683128
2011-04,H5,25,2178,796574,63,189,200,4,122060515
2011-05,H5,25,3698,1347433,69,255,268,5,200763430
2011-06,H5,25,2989,1025230,67,229,245,4,146428750
2011-07,H5,25,3275,1028241,62,238,249,4,155363526
2011-08,H5,25,4153,1310889,68,247,268,5,174025512
2011-09,H5,25,3051,1070021,68,233,249,4,154917181
2011-01,H3,25,5671,2531307,24,641,678,5,512769605
2010-12,H3,25,1404,686019,24,258,286,1,129454522
2011-02,H3,25,4013,2014219,23,511,542,4,312150221
2011-03,H3,25,4035,1874628,23,526,560,4,285424232
2011-04,H3,25,4393,1924166,24,490,524,4,310789742
2011-05,H3,25,6635,2749223,24,557,593,5,440712564
2011-06,H3,25,5316,2160865,28,514,552,4,330215904
2011-07,H3,25,3999,1895916,25,483,521,4,272492845
2011-08,H3,25,5166,2506110,23,530,568,5,387423897
2011-09,H3,25,4328,2148677,23,476,504,4,354204916
2011-10,H3,25,4669,1577350,24,515,556,5,288527396
2011-11,H3,25,5692,2744611,25,443,484,4,309211587
2011-12,H3,25,5146,2622109,21,365,404,3,270316239
2011-01,H3,26,828,172549,13,105,111,5,24008666
2011-06,H3,26,694,179575,16,122,132,4,18410913
2011-07,H3,26,489,119493,14,112,116,4,12667323
2011-03,H3,26,497,110632,14,96,99,4,13685159
2011-05,H3,26,905,199103,16,129,133,5,22697430
2011-04,H3,26,539,158785,12,99,102,4,18029492
2011-10,H3,26,640,64531,12,109,116,5,9491181
2011-11,H3,26,653,172381,13,106,114,4,13826274
2011-12,H3,26,856,264883,13,107,114,3,19894330
2011-02,H3,26,535,232935,13,88,91,4,28507284
2011-03,H2,25,2951,1376241,45,105,115,4,191845380
2010-12,F3,25,301,257004,18,88,92,1,53506254
2011-01,F3,25,744,735021,17,80,84,5,126020820
2011-04,F3,25,674,576316,16,86,91,4,75451716
2011-05,F3,25,1657,1414011,19,115,125,5,191538886
2011-06,F3,25,1597,1558188,19,123,133,4,228934029
2011-08,F3,25,1980,1383060,17,125,135,5,184133407
2011-07,F3,25,1563,1213612,18,112,124,4,183283151
2011-11,F3,25,1670,1579817,18,137,149,4,151062226
2011-10,F3,25,1721,1044323,18,140,147,5,168560494
2011-12,F3,25,1399,1362106,16,127,139,3,126081164
2011-06,F3,26,154,38039,14,41,43,4,4800155
2011-04,F3,26,85,18308,12,26,27,4,2302182
2011-05,F3,26,236,49347,13,41,45,5,6290988
2011-08,F3,26,382,103466,12,46,47,5,13516051
2011-11,F3,26,338,212938,14,53,56,4,18057327
2011-10,F3,26,413,135839,13,48,49,5,21121048
2011-07,F3,26,231,56950,11,44,46,4,8213364
2011-12,F3,26,278,152619,13,43,48,3,13139910
2011-03,B1,25,129846,66901131,219,8015,9121,4,11715251596
2011-10,B1,25,181451,71203494,224,8762,10044,5,13556914992
2011-02,B1,26,30651,8367420,183,3799,4218,4,1401554423
2011-06,B1,26,33438,8630959,189,3938,4336,4,1228324420
2011-03,B1,26,31514,9216499,184,3973,4441,4,1509535885
2011-10,B1,26,48791,11301289,184,4475,5060,5,1620565440
2011-04,B1,26,33413,8891081,187,4105,4575,4,1332475822
2011-09,D1,26,1016,83221,39,92,98,4,10155337
2011-12,T1,25,28366,14556071,30,1944,2111,3,1226059481
2011-12,T1,26,8865,4395655,25,1222,1301,3,367339411
2011-08,G7,25,49862,23635344,238,3017,3206,5,3884775672
2011-08,G7,26,14378,4319073,195,1851,1934,5,608463203
2011-05,G3,25,21964,11072645,76,1871,1971,5,1963752226
2011-05,G3,26,7162,2597485,61,1327,1376,5,329484684
2010-12,H5,25,485,141484,43,129,133,1,36518652
2011-10,H5,25,3336,1164420,67,237,257,5,181022181
2011-11,H5,25,1990,769661,58,198,213,4,91830864
2011-12,H5,25,1192,478829,55,167,176,3,45853663
2011-01,H5,26,586,61237,34,72,74,5,8507590
