ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2015-06,T1,28,229,2068811,4,9,13,30,56117654
2015-10,B2,28,256,325258,5,10,15,31,6616607
2015-11,B2,28,565,324446,6,16,26,30,7183596
2015-06,A1,27,21,518863,1,2,2,14,14534032
2015-06,D2,28,366,357053,8,16,19,30,6983792
2015-09,D2,28,186,47556,6,11,11,30,911124
2015-10,D2,28,466,251196,7,18,22,31,4848102
2015-04,T1,28,254,330220,2,9,13,30,6599902
2015-11,G2,27,89,699852,2,2,5,30,16927510
2015-12,G2,27,73,523521,2,2,5,24,12859843
2015-09,G7,28,141,1522684,7,8,10,30,29868990
2015-10,G7,28,148,944209,6,7,8,31,18518732
2015-01,D2,28,69,106813,3,5,5,30,2889479
2015-03,D2,28,115,256659,4,8,11,31,4388576
2015-04,D2,28,173,132668,6,13,15,30,2647121
2014-12,G3,28,3,51,1,1,1,3,270
2015-03,G7,28,162,66162,5,6,11,31,1126492
2015-12,B2,28,467,163833,5,13,20,27,3788956
2015-08,B2,28,92,197335,4,5,6,31,20300849
2015-09,B2,28,80,19889,3,4,5,30,390466
2015-06,B2,28,108,373177,3,4,7,30,24041317
2015-05,F1,27,42,700982,2,2,3,28,19635232
2014-12,H3,28,6,16272,1,2,2,3,818748
2015-01,H3,28,4,20722,2,3,3,3,533662
2015-06,H3,27,92,1741668,2,5,8,26,71795795
2015-06,H3,28,109,350672,3,3,6,30,6143190
2014-12,F1,27,3,4971,1,1,1,3,449757
2015-12,T2,28,7,18045,1,1,1,7,349399
2015-02,D2,28,86,140778,4,5,7,28,2433762
2015-03,B4,28,78,180610,4,6,8,31,3923594
2015-07,B4,28,166,331902,4,8,13,31,6455475
2015-08,B4,28,124,147029,2,3,5,31,2823541
2015-11,F2,28,11,1416,1,1,2,11,77223
2015-12,F2,28,27,2384,1,1,1,27,181857
2015-08,T4,28,33,37801,3,3,3,31,1904095
2015-04,F1,27,42,1052925,1,1,2,21,29494290
2015-12,F3,27,51,666229,2,2,2,27,18026571
2015-04,F1,28,17,33987,1,2,2,14,666685
2015-05,F1,28,31,29504,1,1,1,31,578390
2015-06,F1,28,58,214140,2,3,3,30,4199541
2015-07,F1,28,43,165578,1,2,2,26,3249020
2015-08,F1,28,1,318,1,1,1,1,6210
2015-09,F1,28,30,20859,1,1,1,30,408948
2015-10,F1,28,31,135746,2,3,3,24,2661424
2015-08,T4,27,31,12432,1,1,2,31,639690
2015-09,T4,27,17,4124,1,1,1,17,227612
2015-05,D2,27,104,80440,5,5,5,31,2074894
2015-09,D2,27,97,41848,2,4,7,30,1817191
2015-07,F3,28,14,14831,1,1,2,7,289834
2015-07,B2,28,68,117681,3,5,7,31,3652129
2015-10,H2,27,24,6900,1,1,1,24,80172
2015-05,B5,27,20,320910,1,1,2,10,7702449
2015-06,B5,27,25,731119,1,1,1,25,20582523
2015-11,B5,28,28,44753,1,1,2,18,866203
2015-12,B5,28,10,6156,1,1,1,10,119830
