ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2010-01,T1,4,928,4877261,26040,4,23,62,31
2010-04,T1,4,2017,12123001,59535,6,24,97,30
2010-05,T1,4,1636,7717769,49085,6,29,96,31
2010-03,T1,22,1862,1301784,53775,7,22,62,31
2010-02,T1,22,1833,1029852,51540,6,23,73,28
2010-01,T1,22,1825,2141448,53385,5,26,61,31
2010-04,T1,22,2895,2182190,84195,7,23,94,30
2010-05,T1,22,3097,2447818,92145,8,28,96,31
2010-02,T2,2,4070,3694094,86050,6,22,186,28
2010-03,T2,2,8114,6391973,156690,7,26,283,31
2010-04,T2,2,5826,5821027,122835,8,25,273,30
2010-05,T2,2,4181,3716806,81615,7,24,260,31
2010-06,T2,2,7536,7600734,161485,9,28,301,30
2010-07,T2,2,7651,9697383,193440,8,26,292,31
2010-08,T2,2,6749,9315185,165875,8,28,328,31
2010-09,T2,2,7284,8715046,174115,8,30,389,30
2010-10,T2,2,6339,6878598,158190,7,27,289,31
2010-11,T2,2,7030,9744350,186720,7,28,296,30
2010-12,T2,2,4351,6646670,127690,8,26,130,31
2010-05,H5,22,86,62748,2400,3,5,8,18
2010-06,H5,22,38,16474,990,4,5,6,13
2010-01,H3,2,19370,22800133,396130,5,125,631,31
2010-02,H3,2,15923,18790449,319725,6,126,505,28
2010-03,H3,2,29222,41729325,614540,7,132,878,31
2010-07,A1,4,52,623074,1620,2,5,13,13
2010-08,A1,4,195,1275888,5850,1,3,10,31
2010-09,A1,4,200,1443552,6000,2,3,10,23
2010-11,A1,4,123,646651,3690,1,2,8,10
2010-12,A1,4,242,1167603,7260,1,2,10,23
2010-07,A1,22,216,224463,8850,3,6,18,31
2010-08,A1,22,480,360080,14455,4,7,13,31
2010-09,A1,22,434,307841,12905,4,9,17,30
2010-11,A1,22,525,405143,15750,3,4,9,30
2010-12,A1,22,313,350671,9285,3,4,13,26
2010-02,A1,1,411,993550,6540,6,14,37,25
2010-03,A1,1,686,3144995,12307,9,24,85,31
2010-05,A1,1,829,2642736,13575,6,17,101,31
2010-06,A1,1,478,1911445,7895,8,19,78,30
2010-03,A1,3,196,860966,2915,5,10,46,28
2010-02,A1,3,47,208091,720,2,4,8,21
2010-05,A1,3,194,695475,2460,3,8,53,29
2010-07,A1,3,217,965715,3005,4,9,59,30
2010-06,A1,3,75,257641,835,4,7,28,22
2010-01,B4,2,7629,16647731,287595,15,48,282,31
2010-02,B4,2,7624,15331350,309265,16,54,281,28
2010-03,B4,2,7571,13921691,256270,16,52,301,31
2010-04,B4,2,7612,15561180,261445,16,65,258,30
2010-05,B4,2,8026,14972579,282680,17,70,277,31
2010-06,B4,2,9113,19616562,309850,17,67,408,30
2010-07,B4,2,8535,15011059,367260,18,59,327,31
2010-12,B4,2,8407,15493715,261130,20,92,391,31
2010-09,A1,3,124,1153644,2450,4,11,46,25
2010-10,A1,3,331,2733643,6655,5,9,47,27
2010-11,A1,3,144,1044543,2515,6,9,56,25
