ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2014-10,B3,9,17,304756,284,5,8,8,11
2014-12,B3,9,10,285401,282,3,6,6,8
2014-09,B3,9,16,372415,423,4,7,7,10
2014-05,B3,9,22,676924,1046,5,10,10,14
2014-07,B3,9,13,353123,479,4,6,6,10
2014-04,B3,9,22,647311,970,4,7,7,13
2014-11,B3,9,11,231402,303,4,6,6,8
2014-08,B3,9,15,538359,761,4,10,10,12
2014-02,B3,10,252,1401396,23508,9,30,30,28
2014-04,B3,10,377,3054696,26929,10,30,31,30
2014-05,B3,10,284,1775089,16699,11,34,38,31
2014-01,B3,10,271,1593455,19461,7,24,25,31
2014-11,B3,15,2,26212,120,2,2,2,2
2014-02,B4,9,80,1970707,2915,10,50,54,23
2014-10,B4,9,60,2005667,3455,11,41,43,19
2014-03,B4,9,88,2205729,3341,9,67,67,24
2014-04,B4,9,75,1848102,2756,12,57,57,24
2014-08,B4,9,41,1235901,2107,9,29,30,19
2014-10,B7,10,5929,9737966,114278,4,1956,2031,31
2014-09,B7,10,5986,9938551,115468,4,1983,2063,30
2014-03,B7,10,5523,10708338,103472,4,2040,2154,31
2014-08,B7,10,6247,10340659,115844,4,1965,2084,31
2014-07,B7,10,5894,9450466,107473,4,1875,1992,31
2014-05,B7,10,5849,10214608,110464,4,2046,2176,31
2014-05,T4,9,30,620669,732,7,21,22,18
2014-05,T4,15,50,320451,1251,10,40,41,3
2014-09,T4,15,32,200369,1058,7,26,26,4
2014-11,G2,9,142,2648228,3316,4,74,85,25
2014-02,G2,10,132,1176920,3273,4,40,51,27
2014-08,G2,10,84,707736,1847,5,40,45,28
2014-12,G2,10,306,2775076,25023,4,95,113,31
2014-03,G2,10,116,904487,2542,4,41,49,27
2014-10,A1,9,121,1728202,2208,7,32,36,27
2014-11,A1,9,102,1472527,1762,9,36,37,25
2014-08,A1,9,69,664695,1085,3,17,17,26
2014-12,A1,10,174,1955667,5962,10,65,70,31
2014-06,T6,10,724,1210458,12687,18,184,195,30
2014-10,T6,10,891,1437444,15441,20,234,252,31
2014-07,T6,10,504,684959,8120,16,132,147,31
2014-01,T6,10,277,461579,4257,14,87,88,31
2014-04,A1,9,124,1621496,2362,6,33,36,30
2014-04,A1,10,199,1933018,5322,9,58,59,30
2014-02,B7,10,4546,8161084,83003,3,1655,1749,28
2014-11,B7,10,5988,10003263,113176,3,1790,1866,30
2014-12,H2,10,157,780113,8513,18,30,30,31
2014-01,T4,15,19,70707,555,7,12,12,9
2014-06,H1,9,15,257315,305,5,6,7,12
2014-09,H1,9,12,167877,246,4,7,7,7
2014-05,H1,9,23,312090,379,8,12,12,15
2014-01,B7,10,4996,8977570,90534,4,1673,1752,31
